Member #,Member Number,Given Name,Surname,Email,Phone #,Birthday,Sex,Membership Type,Status,Date Joined,Date Resigned,Household ID,Annual Fee,Current Balance,Handicap #,Mailings
mbr_1774823550715_38,0,James,Torres,james.torres@email.com,(894) 432-7926,,,NR,active,2023-05-19,,,7879,0,,1
mbr_1774823550721_39,0,Sharon,Hart,sharon.hart@email.com,(702) 962-7685,,,JR,active,2022-03-27,,,5771,0,,1
mbr_1774823995329_1,0,Andrew,Wells,andrew.wells@email.com,(833) 714-7334,,,FG,active,2021-04-24,,,20656,0,,1
mbr_1774823995335_2,0,Carol,Crawford,carol.crawford@email.com,(306) 585-7742,,,FG,active,2020-08-05,,,22469,0,,1
mbr_1774823995315_0,0,Betty,Kim,betty.kim@email.com,(811) 983-1051,,,SPT,active,2024-10-09,,,17431,0,,1
mbr_1774823995340_3,0,Laura,Crawford,laura.crawford@email.com,(545) 851-7380,,,SPT,active,2022-12-27,,,11054,0,,1
mbr_1774823995346_4,0,Brian,Lane,brian.lane@email.com,(522) 997-4043,,,SPT,active,2024-07-17,,,12356,0,,1
mbr_1774823995351_5,0,Thomas,Simmons,thomas.simmons@email.com,(943) 245-6605,,,JR,active,2020-08-28,,,5015,0,,1
mbr_1774823995356_6,0,Betty,Wells,betty.wells@email.com,(836) 976-8865,,,FG,active,2022-08-22,,,18998,0,,1
mbr_1774823995361_7,0,Laura,Bailey,laura.bailey@email.com,(877) 492-7025,,,NR,active,2021-01-24,,,8929,0,,1
mbr_1774823995372_8,0,Kevin,Brooks,kevin.brooks@email.com,(564) 231-1294,,,FG,active,2022-10-17,,,16001,0,,1
mbr_1774823995378_9,0,William,Cooper,william.cooper@email.com,(601) 640-3312,,,JR,active,2018-06-26,,,5442,0,,1
mbr_1774823995383_10,0,Daniel,Stone,daniel.stone@email.com,(383) 900-6907,,,SPT,active,2021-11-05,,,11470,0,,1
mbr_1774823995388_11,0,Lisa,Richardson,lisa.richardson@email.com,(718) 818-5977,,,NR,active,2019-06-08,,,6669,0,,1
mbr_1774823995392_12,0,Linda,Lane,linda.lane@email.com,(222) 450-6893,,,NR,active,2023-04-02,,,7909,0,,1
mbr_1774823995396_13,0,Richard,Hart,richard.hart@email.com,(692) 249-5569,,,SPT,active,2024-10-31,,,14915,0,,1
mbr_1774823995407_14,0,David,Reed,david.reed@email.com,(998) 219-1025,,,SPT,active,2020-05-20,,,12783,0,,1
mbr_1774823995412_15,0,Steven,Murphy,steven.murphy@email.com,(871) 495-2539,,,SPT,active,2023-03-07,,,10198,0,,1
mbr_1774823995416_16,0,Nancy,Ward,nancy.ward@email.com,(397) 605-9300,,,SPT,active,2020-10-19,,,16716,0,,1
mbr_1774823995421_17,0,Susan,Richardson,susan.richardson@email.com,(246) 291-4808,,,SPT,active,2021-04-25,,,15027,0,,1
mbr_1774823995427_18,0,Kevin,Henderson,kevin.henderson@email.com,(579) 596-3297,,,NR,active,2020-09-10,,,8430,0,,1
mbr_1774823995432_19,0,Sarah,Lane,sarah.lane@email.com,(471) 983-6151,,,FG,active,2023-04-17,,,18663,0,,1
mbr_1774823995437_20,0,Betty,Richardson,betty.richardson@email.com,(369) 896-4538,,,SPT,active,2020-06-08,,,14542,0,,1
mbr_1774823995441_21,0,Kevin,Anderson,kevin.anderson@email.com,(216) 574-3413,,,SPT,active,2021-09-01,,,12820,0,,1
mbr_1774823995447_22,0,Linda,Liu,linda.liu@email.com,(507) 990-3398,,,FG,active,2020-02-14,,,20327,0,,1
mbr_1774823995452_23,0,Robert,Ward,robert.ward@email.com,(304) 276-6524,,,NR,active,2025-09-01,,,7831,0,,1
mbr_1774823995456_24,0,Lisa,Brooks,lisa.brooks@email.com,(627) 479-6456,,,SPT,active,2021-06-21,,,14777,0,,1
mbr_t06,506,Sandra,Chen,sandra.c@email.com,(480) 555-0106,1985-04-10,F,SOC,active,2021-06-15,,hh_t06,9000,0,,1
mbr_t07,507,Linda,Leonard,linda.l@email.com,(480) 555-0107,1974-08-22,F,FG,resigned,2019-05-20,2026-01-15,hh_t07,18000,0,,1
mbr_t07b,508,Richard,Leonard,richard.l@email.com,(480) 555-0108,1972-01-15,M,FG,active,2019-05-20,,hh_t07,18000,0,,1
mbr_312,509,Robert,Mills,robert.m@email.com,(480) 555-0109,1962-07-30,M,FG,active,2014-06-10,,hh_t08,18000,0,,1
